id,time_left,unit_price,quantity,buyout,bid,item
1752703195,SHORT,145500,2,,,{'id': 177716}
1752703231,SHORT,,1,15513900,,"{'id': 7456, 'context': 1, 'bonus_lists': [6654, 1691], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 209}]}"
1752703235,SHORT,,1,9990500,,"{'id': 9866, 'context': 1, 'bonus_lists': [6654, 1681], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 209}]}"
1752703236,SHORT,,1,27152500,,"{'id': 14782, 'context': 1, 'bonus_lists': [6654], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 209}]}"
1752703238,SHORT,,1,14749400,,"{'id': 4416, 'context': 1, 'modifiers': [{'type': 28, 'value': 209}]}"
1752703242,SHORT,,1,20494000,,"{'id': 14825, 'context': 1, 'bonus_lists': [6655], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 209}]}"
1752703250,SHORT,,1,65412400,,"{'id': 14942, 'context': 1, 'bonus_lists': [6654, 1679], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 209}]}"
1752703252,SHORT,,1,15000000,,"{'id': 7455, 'context': 1, 'bonus_lists': [6654, 1693], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 209}]}"
1752703258,SHORT,,1,26030000,,"{'id': 14247, 'context': 1, 'bonus_lists': [6654, 1679], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 209}]}"
1752703260,SHORT,,1,674500,,"{'id': 5216, 'context': 1, 'bonus_lists': [6655, 1691], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 209}]}"
1752703262,SHORT,,1,14261700,,"{'id': 15964, 'context': 1, 'bonus_lists': [6655], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 209}]}"
1752703264,SHORT,,1,24198000,,"{'id': 4299, 'context': 1, 'modifiers': [{'type': 28, 'value': 209}]}"
1752703267,SHORT,,1,4962400,,"{'id': 1640, 'context': 1, 'bonus_lists': [6655, 1708], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 209}]}"
1752703272,SHORT,,1,58191200,,"{'id': 14941, 'context': 1, 'bonus_lists': [6654, 1708], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 209}]}"
1752703273,SHORT,,1,8343400,,"{'id': 14252, 'context': 1, 'bonus_lists': [6654, 1705], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 209}]}"
1752703277,SHORT,,1,72918000,,"{'id': 14826, 'context': 1, 'bonus_lists': [6654], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 209}]}"
1752703281,SHORT,1890000,2,,,{'id': 172439}
1752703286,SHORT,,1,9727100,,"{'id': 7462, 'context': 1, 'bonus_lists': [6654, 1681], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 209}]}"
1752703288,SHORT,,1,36453200,,"{'id': 15617, 'context': 1, 'bonus_lists': [6654, 1707], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 209}]}"
1752703292,SHORT,,1,2643900,,"{'id': 15215, 'context': 1, 'bonus_lists': [6655, 1708], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 209}]}"
1752703293,SHORT,,1,23080800,,"{'id': 14423, 'context': 1, 'bonus_lists': [6654], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 209}]}"
1752703302,SHORT,,1,22944000,,"{'id': 15371, 'context': 1, 'bonus_lists': [6654, 1706], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 209}]}"
1752703304,SHORT,,1,30691500,,"{'id': 14775, 'context': 1, 'bonus_lists': [6654], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 209}]}"
1752703306,SHORT,,1,76598800,,"{'id': 15158, 'context': 1, 'bonus_lists': [6654, 1677], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 209}]}"
1752703324,SHORT,,1,177694600,,"{'id': 937, 'context': 1, 'bonus_lists': [6659], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 209}]}"
1752703328,SHORT,,1,8297200,,"{'id': 9864, 'context': 1, 'bonus_lists': [6654, 1709], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 209}]}"
1752703332,SHORT,,1,21315500,,"{'id': 15369, 'context': 1, 'bonus_lists': [6654, 1693], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 209}]}"
1752703335,SHORT,,1,23159100,,"{'id': 15599, 'context': 1, 'bonus_lists': [6654, 1678], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 209}]}"
1752703338,SHORT,,1,39888200,,"{'id': 14225, 'context': 1, 'bonus_lists': [6654, 1706], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 209}]}"
1752703409,SHORT,,1,240000000,,"{'id': 183616, 'context': 0, 'modifiers': [{'type': 28, 'value': 1401}]}"
1752703696,SHORT,,1,2358900,,"{'id': 25024, 'context': 3, 'bonus_lists': [6654, 1679], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1014}]}"
1752703698,SHORT,,1,2358900,,"{'id': 25024, 'context': 3, 'bonus_lists': [6654, 1692], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1014}]}"
1752703699,SHORT,,1,11089700,,"{'id': 36160, 'context': 2, 'bonus_lists': [6654, 1708], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1086}]}"
1752703701,SHORT,20500,4,,,{'id': 33459}
1752703704,SHORT,,1,9399800,,"{'id': 95410, 'context': 0, 'modifiers': [{'type': 28, 'value': 1035}]}"
1752703705,SHORT,,1,1791600,,"{'id': 177804, 'context': 0, 'bonus_lists': [6908, 6652, 1712], 'modifiers': [{'type': 9, 'value': 60}, {'type': 28, 'value': 1707}]}"
1752703707,SHORT,,1,8084600,,"{'id': 36402, 'context': 0, 'bonus_lists': [6654, 1691], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1017}]}"
1752703708,SHORT,,1,8377900,,"{'id': 178943, 'context': 0, 'bonus_lists': [6908, 6652, 1713], 'modifiers': [{'type': 9, 'value': 60}, {'type': 28, 'value': 2060}]}"
1752703709,SHORT,,1,2579000,,"{'id': 25028, 'context': 3, 'bonus_lists': [6654, 1695], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1014}]}"
1752703711,SHORT,37646700,1,,,{'id': 174285}
1752703719,SHORT,2600,21,,,{'id': 8150}
1752703720,SHORT,,1,7832700,,"{'id': 45493, 'context': 3, 'modifiers': [{'type': 28, 'value': 1020}]}"
1752703723,SHORT,,1,1999900,,"{'id': 25096, 'context': 3, 'bonus_lists': [6655, 1678], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1014}]}"
1752703726,SHORT,,1,1111200,,"{'id': 36430, 'context': 3, 'bonus_lists': [6654, 1709], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1020}]}"
1752703731,SHORT,8800,3,,,{'id': 9313}
1752703737,SHORT,,1,5571100,,"{'id': 55702, 'context': 2, 'bonus_lists': [6654, 1705], 'modifiers': [{'type': 9, 'value': 35}, {'type': 28, 'value': 1111}]}"
1752703741,SHORT,,1,304900,,"{'id': 24802, 'context': 0, 'bonus_lists': [6654, 1691], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1008}]}"
1752703744,SHORT,,1,1326700,,"{'id': 24802, 'context': 3, 'bonus_lists': [6654, 1679], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1014}]}"
1752703748,SHORT,,1,2028300,,"{'id': 36665, 'context': 2, 'bonus_lists': [6655, 1707], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1087}]}"
1752703749,SHORT,,1,2028300,,"{'id': 36665, 'context': 2, 'bonus_lists': [6655, 1680], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1086}]}"
1752703750,SHORT,83500,24,,,{'id': 20861}
1752703752,SHORT,100200,18,,,{'id': 20858}
1752703753,SHORT,,1,869700,,"{'id': 36401, 'context': 3, 'bonus_lists': [6654, 1695], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1020}]}"
1752703757,SHORT,,1,698200,,"{'id': 36286, 'context': 3, 'bonus_lists': [6654, 1680], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1020}]}"
1752703759,SHORT,,1,1775800,,"{'id': 45104, 'context': 3, 'modifiers': [{'type': 28, 'value': 1020}]}"
1752703761,SHORT,,1,507500,,"{'id': 184506, 'context': 0}"
1752703762,SHORT,,1,808300,,"{'id': 24688, 'context': 0, 'bonus_lists': [6654, 1691], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1015}]}"
1752703763,SHORT,,1,2200100,,"{'id': 10248, 'context': 0, 'bonus_lists': [6654, 1707], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1004}]}"
