id,time_left,unit_price,quantity,buyout,bid,item
673650475,SHORT,2900000,1,,,{'id': 173049}
673656166,SHORT,3107900,1,,,{'id': 171275}
673656380,SHORT,519900,1,,,{'id': 168586}
673656393,SHORT,435500,3,,,{'id': 170554}
673656419,SHORT,16500,2,,,{'id': 173202}
673656433,SHORT,77630000,3,,,{'id': 109217}
673656450,SHORT,4100000000,1,,,{'id': 109145}
673656461,SHORT,9000,1,,,{'id': 109222}
673656473,SHORT,850000,10,,,{'id': 109219}
673656487,SHORT,603800,8,,,{'id': 109220}
673656539,SHORT,336700,1,,,{'id': 176392}
673656585,SHORT,,1,16656400,,"{'id': 116155, 'context': 14, 'modifiers': [{'type': 28, 'value': 378}]}"
673656609,SHORT,228100,21,,,{'id': 109624}
673656651,SHORT,,1,191330000,,"{'id': 116692, 'context': 11, 'modifiers': [{'type': 28, 'value': 296}]}"
673656668,SHORT,2228000,2,,,{'id': 176087}
673656678,SHORT,349000,2,,,{'id': 179314}
673656697,SHORT,599700,9,,,{'id': 172050}
673656730,SHORT,,1,29165000,,"{'id': 106510, 'context': 0, 'bonus_lists': [6654, 51], 'modifiers': [{'type': 9, 'value': 40}, {'type': 28, 'value': 65}]}"
673656749,SHORT,7890100,2,,,{'id': 87806}
673656771,SHORT,2340000,1,,,{'id': 183823}
673656782,SHORT,809900,3,,,{'id': 172041}
673656788,SHORT,,1,750000,,"{'id': 178952, 'context': 0, 'bonus_lists': [6908, 6652, 1681], 'modifiers': [{'type': 9, 'value': 60}, {'type': 28, 'value': 1707}]}"
673656790,SHORT,79141600,1,,,{'id': 109584}
673656796,SHORT,870893800,4,,,{'id': 109148}
673656806,SHORT,,1,2100000,,"{'id': 175547, 'context': 1, 'bonus_lists': [6907, 1700], 'modifiers': [{'type': 9, 'value': 60}, {'type': 28, 'value': 747}]}"
673656817,SHORT,33300000,3,,,{'id': 109147}
673656828,SHORT,,1,1222400,,"{'id': 176980, 'context': 0, 'bonus_lists': [6907, 6652, 1707], 'modifiers': [{'type': 9, 'value': 60}, {'type': 28, 'value': 1707}]}"
673656841,SHORT,,1,6762900,,"{'id': 116702, 'context': 1, 'bonus_lists': [6654, 103, 551], 'modifiers': [{'type': 9, 'value': 40}, {'type': 28, 'value': 272}]}"
673656914,SHORT,,1,27189500,,"{'id': 106506, 'context': 1, 'bonus_lists': [6654, 106], 'modifiers': [{'type': 9, 'value': 40}, {'type': 28, 'value': 272}]}"
673656941,SHORT,24400,1,,,{'id': 172052}
673656954,SHORT,90000,11,,,{'id': 112449}
673656978,SHORT,272300,3,,,{'id': 172063}
673656992,SHORT,1009500,10,,,{'id': 109221}
673660010,SHORT,,1,13575300,,"{'id': 116522, 'context': 1, 'bonus_lists': [6655, 96, 550], 'modifiers': [{'type': 9, 'value': 40}, {'type': 28, 'value': 272}]}"
673660019,SHORT,720000000,1,,,{'id': 43571}
673660029,SHORT,,1,510489400,,"{'id': 106628, 'context': 1, 'bonus_lists': [6655, 165], 'modifiers': [{'type': 9, 'value': 40}, {'type': 28, 'value': 269}]}"
673660048,SHORT,509000,2,,,{'id': 172053}
673660085,SHORT,500000,1,,,{'id': 171290}
673660093,SHORT,22200000,1,,,{'id': 176873}
673660119,SHORT,101700,4,,,{'id': 180168}
673660141,SHORT,,1,900000,,"{'id': 180795, 'context': 0, 'bonus_lists': [6908, 6652, 1696], 'modifiers': [{'type': 9, 'value': 60}, {'type': 28, 'value': 1707}]}"
673660169,SHORT,350000,1,,,{'id': 171268}
673660196,SHORT,,1,15003400,,"{'id': 106721, 'context': 0, 'bonus_lists': [6654, 198], 'modifiers': [{'type': 9, 'value': 40}, {'type': 28, 'value': 67}]}"
673660355,SHORT,,1,9036600,,"{'id': 178943, 'context': 0, 'bonus_lists': [6908, 6652, 1708], 'modifiers': [{'type': 9, 'value': 60}, {'type': 28, 'value': 1707}]}"
673660503,SHORT,,1,19008800,,"{'id': 24768, 'context': 22, 'bonus_lists': [6654, 1705], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1079}]}"
673660506,SHORT,,1,37876600,,"{'id': 14792, 'context': 1, 'bonus_lists': [6654], 'modifiers': [{'type': 9, 'value': 32}, {'type': 28, 'value': 1925}]}"
673660507,SHORT,,1,11078400,,"{'id': 36071, 'context': 2, 'bonus_lists': [6654, 1695], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1091}]}"
