id,time_left,unit_price,quantity,buyout,bid,item
674795040,SHORT,74999900,1,,,{'id': 161344}
674795132,SHORT,139800,12,,,{'id': 171829}
674795387,SHORT,53100,5,,,{'id': 172055}
674795493,SHORT,820400,5,,,{'id': 39354}
674795533,SHORT,50000,386,,,{'id': 74841}
674795573,SHORT,20000,42,,,{'id': 74844}
674795589,SHORT,24300,42,,,{'id': 168646}
674795615,SHORT,990000,1,,,{'id': 24479}
674795676,SHORT,9900,165,,,{'id': 110610}
674795694,SHORT,20000,5,,,{'id': 52976}
674795711,SHORT,18900,5,,,{'id': 21887}
674795725,SHORT,10500,27,,,{'id': 25649}
674795736,SHORT,40312100,1,,,{'id': 4231}
674795789,SHORT,,1,3455700,,"{'id': 25225, 'context': 0, 'bonus_lists': [6655, 1694], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1011}]}"
674795810,SHORT,,1,10000000,,"{'id': 159576, 'context': 0, 'bonus_lists': [6655, 1704], 'modifiers': [{'type': 9, 'value': 39}, {'type': 28, 'value': 1228}]}"
674795825,SHORT,,1,23738100,,"{'id': 25180, 'context': 3, 'bonus_lists': [6655, 1708], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1014}]}"
674795838,SHORT,,1,16155800,,"{'id': 82217, 'context': 2, 'bonus_lists': [6655, 1686], 'modifiers': [{'type': 9, 'value': 35}, {'type': 28, 'value': 1186}]}"
674795846,SHORT,,1,200000,,"{'id': 82275, 'context': 0, 'bonus_lists': [6655, 1680], 'modifiers': [{'type': 9, 'value': 35}, {'type': 28, 'value': 168}]}"
674795858,SHORT,,1,11836300,,"{'id': 82001, 'context': 0, 'bonus_lists': [6655, 1695], 'modifiers': [{'type': 9, 'value': 35}, {'type': 28, 'value': 168}]}"
674795867,SHORT,,1,873000,,"{'id': 82274, 'context': 2, 'bonus_lists': [6655, 1677], 'modifiers': [{'type': 9, 'value': 35}, {'type': 28, 'value': 1186}]}"
674795881,SHORT,,1,23730000,,"{'id': 25281, 'context': 3, 'bonus_lists': [6655, 1678], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1014}]}"
674795893,SHORT,,1,47160700,,"{'id': 116643, 'context': 6, 'bonus_lists': [6655, 56], 'modifiers': [{'type': 9, 'value': 40}, {'type': 28, 'value': 2019}]}"
674795903,SHORT,,1,347000,,"{'id': 159493, 'context': 0, 'bonus_lists': [6655, 4802, 1699], 'modifiers': [{'type': 9, 'value': 40}, {'type': 28, 'value': 1222}]}"
674798005,SHORT,,1,89218300,,"{'id': 94075, 'context': 0, 'bonus_lists': [1686], 'modifiers': [{'type': 28, 'value': 168}]}"
674798017,SHORT,,1,100000,,"{'id': 82264, 'context': 0, 'bonus_lists': [6654, 1681], 'modifiers': [{'type': 9, 'value': 35}, {'type': 28, 'value': 168}]}"
674798030,SHORT,,1,150485300,,"{'id': 94073, 'context': 0, 'bonus_lists': [1679], 'modifiers': [{'type': 28, 'value': 168}]}"
674798042,SHORT,,1,300000,,"{'id': 82293, 'context': 0, 'bonus_lists': [6654, 1695], 'modifiers': [{'type': 9, 'value': 35}, {'type': 28, 'value': 168}]}"
674798055,SHORT,,1,29455500,,"{'id': 81997, 'context': 1, 'bonus_lists': [6654, 1688], 'modifiers': [{'type': 9, 'value': 35}, {'type': 28, 'value': 268}]}"
674798068,SHORT,,1,3001400,,"{'id': 159186, 'context': 0, 'bonus_lists': [6654, 1685], 'modifiers': [{'type': 9, 'value': 38}, {'type': 28, 'value': 1227}]}"
