id,time_left,unit_price,quantity,buyout,bid,item
1886967667,SHORT,,1,11374000,,"{'id': 173131, 'context': 13, 'bonus_lists': [7180], 'modifiers': [{'type': 9, 'value': 60}, {'type': 29, 'value': 36}]}"
1886967670,SHORT,,1,2311250100,,"{'id': 161134, 'context': 13, 'modifiers': [{'type': 28, 'value': 872}]}"
1886967710,SHORT,,1,16000000,,"{'id': 173145, 'context': 13, 'modifiers': [{'type': 29, 'value': 32}]}"
1886972599,SHORT,,1,300000000,,"{'id': 182982, 'context': 3, 'bonus_lists': [7189, 6652, 6935, 1472, 6646], 'modifiers': [{'type': 28, 'value': 751}]}"
1886972908,SHORT,45000,1,,,{'id': 36930}
1886972958,SHORT,35100,1,,,{'id': 36927}
1886973007,SHORT,10000,3,,,{'id': 7910}
1886973017,SHORT,,1,1991200,,"{'id': 37800, 'context': 2, 'bonus_lists': [4196], 'modifiers': [{'type': 9, 'value': 50}]}"
1886973022,SHORT,,1,1991200,,"{'id': 37800, 'context': 2, 'bonus_lists': [4196], 'modifiers': [{'type': 9, 'value': 50}]}"
1886973026,SHORT,,1,1991200,,"{'id': 37800, 'context': 2, 'bonus_lists': [4196], 'modifiers': [{'type': 9, 'value': 50}]}"
1886973338,SHORT,400000,5,,,{'id': 7079}
1886973449,SHORT,,1,7495000,,"{'id': 171444, 'context': 13, 'bonus_lists': [6893], 'modifiers': [{'type': 9, 'value': 60}, {'type': 28, 'value': 391}, {'type': 29, 'value': 40}, {'type': 30, 'value': 49}]}"
1886973469,SHORT,160000,20,,,{'id': 35624}
1886973495,SHORT,,1,7495000,,"{'id': 171444, 'context': 13, 'bonus_lists': [6893], 'modifiers': [{'type': 9, 'value': 60}, {'type': 28, 'value': 391}, {'type': 29, 'value': 49}, {'type': 30, 'value': 40}]}"
1886973535,SHORT,,1,7495000,,"{'id': 171444, 'context': 13, 'bonus_lists': [6893], 'modifiers': [{'type': 9, 'value': 60}, {'type': 28, 'value': 391}, {'type': 29, 'value': 40}, {'type': 30, 'value': 36}]}"
1886973670,SHORT,890000,6,,,{'id': 35622}
1886973905,SHORT,20000,21,,,{'id': 7912}
1886974066,SHORT,420000,8,,,{'id': 72103}
1886974137,SHORT,,1,20450800,,"{'id': 5007, 'context': 0, 'bonus_lists': [6654], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 18}]}"
1886974941,SHORT,8000,200,,,{'id': 14047}
1886975022,SHORT,40000,25,,,{'id': 53010}
1886975110,SHORT,1900,16,,,{'id': 151567}
1886975229,SHORT,23500,183,,,{'id': 33470}
1886975414,SHORT,,1,992100,,"{'id': 55855, 'context': 1, 'bonus_lists': [6710], 'modifiers': [{'type': 9, 'value': 35}, {'type': 28, 'value': 258}]}"
1886976549,SHORT,157500,200,,,{'id': 8170}
1886976683,SHORT,275000,1,,,{'id': 171268}
1886977354,SHORT,,1,10004500,,"{'id': 171446, 'context': 13, 'bonus_lists': [6893], 'modifiers': [{'type': 9, 'value': 60}, {'type': 28, 'value': 391}, {'type': 29, 'value': 32}, {'type': 30, 'value': 49}]}"
1886979430,SHORT,,1,999500,,"{'id': 13127, 'context': 1, 'bonus_lists': [6658], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 208}]}"
1886979465,SHORT,,1,998300,,"{'id': 15128, 'context': 1, 'bonus_lists': [6654, 1677], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 208}]}"
1886979529,SHORT,,1,99900,,"{'id': 23638, 'context': 14, 'modifiers': [{'type': 28, 'value': 43}]}"
1886979551,SHORT,90000,20,,,{'id': 165755}
1886979582,SHORT,,1,14990000,,"{'id': 173132, 'context': 13, 'bonus_lists': [7180], 'modifiers': [{'type': 9, 'value': 60}, {'type': 29, 'value': 36}]}"
1886979607,SHORT,,1,14990000,,"{'id': 173132, 'context': 13, 'bonus_lists': [7180], 'modifiers': [{'type': 9, 'value': 60}, {'type': 29, 'value': 32}]}"
1886979632,SHORT,,1,11374000,,"{'id': 173131, 'context': 13, 'bonus_lists': [7180], 'modifiers': [{'type': 9, 'value': 60}, {'type': 29, 'value': 32}]}"
1886979654,SHORT,,1,14990000,,"{'id': 173133, 'context': 13, 'bonus_lists': [7180], 'modifiers': [{'type': 9, 'value': 60}, {'type': 29, 'value': 40}]}"
1886979693,SHORT,,1,10162800,,"{'id': 173134, 'context': 13, 'bonus_lists': [7180], 'modifiers': [{'type': 9, 'value': 60}, {'type': 29, 'value': 36}]}"
1886979719,SHORT,6600,10,,,{'id': 32428}
1886979742,SHORT,700,77,,,{'id': 12365}
1886980367,SHORT,,1,11612900,,"{'id': 8300, 'context': 1, 'bonus_lists': [6654], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 205}]}"
1886980372,SHORT,,1,35419400,,"{'id': 10178, 'context': 1, 'bonus_lists': [6654, 1680], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 205}]}"
1886980378,SHORT,,1,20479400,,"{'id': 69877, 'context': 0, 'bonus_lists': [6694], 'modifiers': [{'type': 9, 'value': 35}, {'type': 28, 'value': 55}]}"
1886980383,SHORT,,1,20255000,,"{'id': 3047, 'context': 0, 'bonus_lists': [6654], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 18}]}"
1886980392,SHORT,,1,12933700,,"{'id': 10181, 'context': 1, 'bonus_lists': [6654, 1694], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 205}]}"
1886980396,SHORT,,1,11245000,,"{'id': 37760, 'context': 0, 'bonus_lists': [6658], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1017}]}"
1886980400,SHORT,,1,16089400,,"{'id': 52375, 'context': 0, 'modifiers': [{'type': 28, 'value': 55}]}"
1886980408,SHORT,,1,5713700,,"{'id': 10170, 'context': 1, 'bonus_lists': [6654, 1677], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 205}]}"
1886980522,SHORT,1005100,1,,,{'id': 112301}
1886980555,SHORT,28000,202,,,{'id': 32897}
1886980600,SHORT,1005100,1,,,{'id': 112277}
1886980611,SHORT,,1,993200,,"{'id': 36281, 'context': 0, 'bonus_lists': [6654, 1681], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 51}]}"
1886980615,SHORT,275000,1,,,{'id': 171268}
1886980647,SHORT,20000,8,,,{'id': 69237}
1886980684,SHORT,,1,991400,,"{'id': 8386, 'context': 1, 'modifiers': [{'type': 28, 'value': 214}]}"
1886980706,SHORT,550000,2,,,{'id': 12808}
1886980740,SHORT,,1,990800,,"{'id': 2974, 'context': 0, 'bonus_lists': [6654], 'modifiers': [{'type': 9, 'value': 20}, {'type': 28, 'value': 10}]}"
