id,time_left,unit_price,quantity,buyout,bid,item
1748591376,SHORT,39900,19,,,{'id': 120257}
1748591398,SHORT,187500,20,,,{'id': 109076}
1748591413,SHORT,50000,4,,,{'id': 154707}
1748591424,SHORT,750000,4,,,{'id': 116981}
1748591436,SHORT,255500,1,,,{'id': 153437}
1748591465,SHORT,1900,12,,,{'id': 142335}
1748591500,SHORT,4400,338,,,{'id': 154165}
1748591579,SHORT,1000000,1,,,{'id': 158377}
1748591613,SHORT,49900,3,,,{'id': 3730}
1748591642,SHORT,145300,1,,,{'id': 158201}
1748591697,SHORT,5000,5,,,{'id': 142336}
1748591732,SHORT,999900,41,,,{'id': 116170}
1748591749,SHORT,20000,2,,,{'id': 109133}
1748591771,SHORT,32500,224,,,{'id': 111557}
1748591794,SHORT,60000,5,,,{'id': 112158}
1748591822,SHORT,700,6,,,{'id': 124117}
1748591835,SHORT,222800,5,,,{'id': 124119}
1748591851,SHORT,4400,35,,,{'id': 124121}
1748591887,SHORT,150000,52,,,{'id': 72986}
1748591907,SHORT,469200,39,,,{'id': 72985}
1748591954,SHORT,,1,990000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 61898}], 'pet_breed_id': 3, 'pet_level': 2, 'pet_quality_id': 3, 'pet_species_id': 1634}"
1748592013,SHORT,9900,1,,,{'id': 136567}
1748592023,SHORT,,1,9900,,"{'id': 110292, 'context': 0}"
1748592030,SHORT,15000,3,,,{'id': 138729}
1748592037,SHORT,95000,125,,,{'id': 109134}
1748592053,SHORT,700,33,,,{'id': 154899}
1748594107,SHORT,1239900,16,,,{'id': 153487}
1748594156,SHORT,50000,2,,,{'id': 112177}
1748594167,SHORT,204400,2,,,{'id': 153434}
1748594681,SHORT,15000000,5,,,{'id': 72104}
1748596196,SHORT,16000,2,,,{'id': 173202}
1748596620,SHORT,14390000,11,,,{'id': 172097}
1748596623,SHORT,,1,13892200,11808400,"{'id': 49967, 'context': 0, 'modifiers': [{'type': 28, 'value': 1023}]}"
1748596632,SHORT,,1,8479400,7207500,"{'id': 25192, 'context': 2, 'bonus_lists': [6655, 1705], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1068}]}"
1748596635,SHORT,,1,9234800,7849600,"{'id': 36511, 'context': 0, 'bonus_lists': [6655, 1681], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1023}]}"
1748596669,SHORT,1259000,53,,,{'id': 172094}
1748596678,SHORT,2055300,23,,,{'id': 7964}
1748596705,SHORT,,1,2752766900,2691243300,"{'id': 16113, 'context': 0}"
1748596708,SHORT,34765900,1,,,{'id': 168956}
1748596833,SHORT,,1,3058608400,2905678000,"{'id': 10403, 'context': 0}"
1748596881,SHORT,,1,2371818000,2253227100,"{'id': 6476, 'context': 0}"
1748596893,SHORT,,1,1322707900,1256572500,"{'id': 10605, 'context': 0}"
1748598507,SHORT,4120000,3,,,{'id': 181468}
1748598789,SHORT,772100,6,,,{'id': 12404}
1748600298,SHORT,,1,2003600,,"{'id': 15266, 'context': 1, 'bonus_lists': [6655, 1694], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 204}]}"
1748600348,SHORT,,1,2007100,,"{'id': 7558, 'context': 1, 'bonus_lists': [6655, 1693], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 204}]}"
1748600370,SHORT,,1,2002700,,"{'id': 6556, 'context': 0, 'bonus_lists': [6654, 1678], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 6}]}"
1748600425,SHORT,70000,864,,,{'id': 10938}
1748600695,SHORT,10000,3,,,{'id': 171841}
1748600838,SHORT,2396800,32,,,{'id': 172233}
1748600854,SHORT,,1,5000000,,"{'id': 17706, 'context': 11, 'modifiers': [{'type': 28, 'value': 420}]}"
1748600858,SHORT,6449200,1,,,{'id': 172410}
1748600879,SHORT,8000,29,,,{'id': 109126}
1748600885,SHORT,4000,35,,,{'id': 109124}
1748605019,SHORT,13799900,9,,,{'id': 171276}
1748605032,SHORT,3800000,1,,,{'id': 171278}
1748605046,SHORT,1750000,23,,,{'id': 171275}
1748605054,SHORT,2980000,14,,,{'id': 173049}
1748605066,SHORT,1599900,4,,,{'id': 171428}
1748606143,SHORT,250000,7,,,{'id': 171301}
1748606323,SHORT,67200,30,,,{'id': 6662}
1748606471,SHORT,,1,33614000,,"{'id': 128313, 'context': 31, 'modifiers': [{'type': 28, 'value': 176}]}"
1748606497,SHORT,,1,50000000,,"{'id': 45984, 'context': 1}"
1748606576,SHORT,,1,1113107700,,"{'id': 128671, 'context': 14}"
1748606975,MEDIUM,,1,36777600,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 94714}], 'pet_breed_id': 14, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 2841}"
1748608246,MEDIUM,,1,9810800,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 98457}], 'pet_breed_id': 5, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 3020}"
1748608261,MEDIUM,,1,13266000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 99856}], 'pet_breed_id': 9, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 2946}"
1748608291,MEDIUM,,1,4959900,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 99883}], 'pet_breed_id': 4, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 2922}"
1748608302,MEDIUM,,1,9412000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 95152}], 'pet_breed_id': 3, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 2796}"
1748608318,MEDIUM,,1,679300,,"{'id': 82800, 'context': 0, 'pet_breed_id': 15, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 254}"
1748608331,MEDIUM,,1,18800600,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 29809}], 'pet_breed_id': 6, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 236}"
1748608338,MEDIUM,,1,99000000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 79637}], 'pet_breed_id': 5, 'pet_level': 20, 'pet_quality_id': 3, 'pet_species_id': 2082}"
1748608365,MEDIUM,,1,239913900,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 74514}], 'pet_breed_id': 6, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 2002}"
1748608405,MEDIUM,,1,49259300,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 74473}], 'pet_breed_id': 7, 'pet_level': 1, 'pet_quality_id': 1, 'pet_species_id': 2000}"
1748608504,MEDIUM,,1,20990000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 65113}], 'pet_breed_id': 20, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1717}"
1748608543,MEDIUM,,1,36871300,,"{'id': 82800, 'context': 0, 'pet_breed_id': 19, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1656}"
1748608652,MEDIUM,,1,50009600,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 61894}], 'pet_breed_id': 11, 'pet_level': 25, 'pet_quality_id': 3, 'pet_species_id': 1629}"
1748608736,MEDIUM,,1,12665200,,"{'id': 82800, 'context': 0, 'pet_breed_id': 18, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1570}"
1748608824,MEDIUM,,1,3385700,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 49122}], 'pet_breed_id': 15, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1565}"
1748608864,MEDIUM,,1,47907300,,"{'id': 82800, 'context': 0, 'pet_breed_id': 21, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1545}"
1748608960,MEDIUM,470000,65,,,{'id': 89112}
1748608962,MEDIUM,,1,58815400,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 58617}], 'pet_breed_id': 21, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1458}"
1748608979,MEDIUM,16000,135,,,{'id': 82441}
1748609000,MEDIUM,,1,33611300,,"{'id': 82800, 'context': 0, 'pet_breed_id': 20, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1434}"
1748609008,MEDIUM,2500,610,,,{'id': 72235}
1748609018,MEDIUM,450000,19,,,{'id': 76134}
1748609019,MEDIUM,,1,13980000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 55679}], 'pet_breed_id': 14, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1412}"
1748609039,MEDIUM,370000,25,,,{'id': 72238}
1748609040,MEDIUM,,1,38610000,,"{'id': 82800, 'context': 0, 'pet_breed_id': 16, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1394}"
1748609054,MEDIUM,,1,28213100,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 53610}], 'pet_breed_id': 20, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1385}"
1748609060,MEDIUM,320000,1,,,{'id': 76140}
1748609072,MEDIUM,,1,971500,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 40521}], 'pet_breed_id': 6, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 1040}"
1748609085,MEDIUM,380000,134,,,{'id': 72094}
1748611110,MEDIUM,980000,11,,,{'id': 76142}
1748611123,MEDIUM,77500,26,,,{'id': 76133}
1748611152,MEDIUM,22500,638,,,{'id': 72093}
1748611187,MEDIUM,230000,12,,,{'id': 76136}
1748611212,MEDIUM,100000,9,,,{'id': 74248}
