id,time_left,unit_price,quantity,buyout,bid,item
672588763,SHORT,,1,3067100,,"{'id': 177809, 'context': 0, 'bonus_lists': [6908, 6652, 1695], 'modifiers': [{'type': 9, 'value': 60}, {'type': 28, 'value': 1707}]}"
672588801,SHORT,,1,2509000,,"{'id': 179334, 'context': 0, 'bonus_lists': [6908, 6652, 1713], 'modifiers': [{'type': 9, 'value': 60}, {'type': 28, 'value': 2060}]}"
672588851,SHORT,,1,3765400,,"{'id': 179333, 'context': 0, 'bonus_lists': [6908, 6652, 1702], 'modifiers': [{'type': 9, 'value': 60}, {'type': 28, 'value': 1707}]}"
672588990,SHORT,,1,1334800,,"{'id': 182690, 'context': 0, 'bonus_lists': [6908, 6652], 'modifiers': [{'type': 9, 'value': 60}, {'type': 28, 'value': 1707}]}"
672590053,SHORT,,1,1159000,,"{'id': 178949, 'context': 0, 'bonus_lists': [6908, 6652, 1679], 'modifiers': [{'type': 9, 'value': 60}, {'type': 28, 'value': 1707}]}"
672590342,SHORT,,1,1000000,,"{'id': 175561, 'context': 0, 'bonus_lists': [6907, 1688], 'modifiers': [{'type': 9, 'value': 60}, {'type': 28, 'value': 1707}]}"
672592276,SHORT,550000,230,,,{'id': 173033}
672592375,SHORT,487400,226,,,{'id': 173037}
672592461,SHORT,82900,7,,,{'id': 173035}
672594425,SHORT,,1,8900000,,"{'id': 44554, 'context': 0, 'modifiers': [{'type': 28, 'value': 872}]}"
672594537,SHORT,487400,150,,,{'id': 173037}
672594580,SHORT,,1,37498800,,"{'id': 128534, 'context': 13}"
672594581,SHORT,,1,37498800,,"{'id': 128534, 'context': 13}"
672594586,SHORT,,1,37498800,,"{'id': 128534, 'context': 13}"
672594591,SHORT,,1,37498800,,"{'id': 128534, 'context': 13}"
672594641,SHORT,550000,225,,,{'id': 173033}
672595745,SHORT,,1,199999900,197999900,"{'id': 164306, 'context': 0}"
672595756,SHORT,,1,267074700,264404000,"{'id': 184781, 'context': 2, 'bonus_lists': [6652, 1472, 6646], 'modifiers': [{'type': 28, 'value': 748}]}"
672595759,SHORT,,1,267074700,264404000,"{'id': 184781, 'context': 0, 'bonus_lists': [6652, 1472, 6646], 'modifiers': [{'type': 28, 'value': 1707}]}"
672597100,SHORT,,1,4700900,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 65130}], 'pet_breed_id': 21, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 1727}"
672597101,SHORT,,1,4700900,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 65130}], 'pet_breed_id': 21, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 1727}"
672597103,SHORT,,1,4700900,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 65130}], 'pet_breed_id': 21, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1727}"
672597113,SHORT,,1,34933000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 99851}], 'pet_breed_id': 3, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 2918}"
672597124,SHORT,,1,229956700,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 40908}], 'pet_breed_id': 11, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 1323}"
672597141,SHORT,,1,106000000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 99900}], 'pet_breed_id': 18, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 2909}"
672597142,SHORT,,1,106000000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 99900}], 'pet_breed_id': 18, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 2909}"
672597172,SHORT,,1,87499600,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 46809}], 'pet_breed_id': 8, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1124}"
672597205,SHORT,,1,80000000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 90830}], 'pet_breed_id': 11, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 2581}"
672597273,SHORT,,1,15003000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 99869}], 'pet_breed_id': 12, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 3027}"
672597275,SHORT,,1,15003000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 99869}], 'pet_breed_id': 12, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 3027}"
672597306,SHORT,,1,200000000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 74036}], 'pet_breed_id': 9, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1984}"
672597308,SHORT,,1,200000000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 74036}], 'pet_breed_id': 19, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1984}"
672597327,SHORT,,1,149378700,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 41833}], 'pet_breed_id': 19, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 381}"
672597336,SHORT,,1,384638700,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 20042}], 'pet_breed_id': 12, 'pet_level': 25, 'pet_quality_id': 3, 'pet_species_id': 146}"
672597351,SHORT,,1,73699800,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 99875}], 'pet_breed_id': 8, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 3037}"
672597365,SHORT,,1,14999800,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 99866}], 'pet_breed_id': 19, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 2916}"
672597376,SHORT,,1,15170200,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 22776}], 'pet_breed_id': 3, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 191}"
672597465,SHORT,,1,60187900,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 88003}], 'pet_breed_id': 7, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 2452}"
672597481,SHORT,,1,239998000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 88024}], 'pet_breed_id': 5, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 2475}"
672599261,SHORT,530000,24,,,{'id': 173033}
672599432,SHORT,85500,8,,,{'id': 152512}
672599510,SHORT,,1,149919000,,"{'id': 172329, 'context': 64, 'bonus_lists': [6717, 7194, 1507]}"
672599549,SHORT,100000,2,,,{'id': 22452}
672599569,SHORT,2200000,2,,,{'id': 36910}
672599592,SHORT,490000,4,,,{'id': 72103}
672599628,SHORT,31700,17,,,{'id': 79010}
672599662,SHORT,499900,2,,,{'id': 23424}
672599700,SHORT,57700,5,,,{'id': 52987}
672599876,SHORT,112300,7,,,{'id': 23425}
672599929,SHORT,107400,4,,,{'id': 2772}
672599950,SHORT,240000,8,,,{'id': 36912}
