id,time_left,unit_price,quantity,buyout,bid,item
650913763,SHORT,41000,6,,,{'id': 158189}
650914069,SHORT,4398200,4,,,{'id': 152813}
650915415,SHORT,,1,25008300,,"{'id': 14397, 'context': 1, 'bonus_lists': [6654], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 280}]}"
650915493,SHORT,,1,24163000,,"{'id': 14423, 'context': 1, 'bonus_lists': [6654], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 203}]}"
650915501,SHORT,,1,4661900,,"{'id': 15383, 'context': 1, 'bonus_lists': [6654, 1707], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 218}]}"
650916645,SHORT,,1,5934700,,"{'id': 82176, 'context': 0, 'bonus_lists': [1708]}"
650916646,SHORT,,1,40834400,,"{'id': 83804, 'context': 0}"
650916690,SHORT,,1,18740800,,"{'id': 116601, 'context': 0, 'bonus_lists': [6655, 209, 550], 'modifiers': [{'type': 9, 'value': 40}, {'type': 28, 'value': 67}]}"
650918522,SHORT,235500,3,,,{'id': 173037}
650918549,SHORT,192800,6,,,{'id': 173035}
650919516,SHORT,235500,1,,,{'id': 173037}
650919553,SHORT,4900,92,,,{'id': 163569}
650919569,SHORT,4000,196,,,{'id': 160502}
650919579,SHORT,220700,3,,,{'id': 154897}
650919606,SHORT,1000000,1,,,{'id': 179293}
650919612,SHORT,420000,9,,,{'id': 17202}
650922524,SHORT,10000,425,,,{'id': 4306}
650923641,SHORT,730000,15,,,{'id': 172094}
650923686,SHORT,8550000,1,,,{'id': 172097}
650923897,SHORT,450000,1,,,{'id': 172053}
650924588,SHORT,,1,56381000,,"{'id': 56519, 'context': 0}"
650924654,SHORT,,1,1453800,,"{'id': 25048, 'context': 22, 'bonus_lists': [6654, 1679], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1076}]}"
650924700,SHORT,,1,25136100,,"{'id': 40362, 'context': 0}"
650924736,SHORT,,1,87462000,,"{'id': 169427, 'context': 0, 'bonus_lists': [6654, 1679], 'modifiers': [{'type': 9, 'value': 50}, {'type': 28, 'value': 690}]}"
650924831,SHORT,,1,102501800,,"{'id': 52545, 'context': 0}"
650924879,SHORT,,1,109150800,,"{'id': 169435, 'context': 0, 'bonus_lists': [6654, 1705], 'modifiers': [{'type': 9, 'value': 50}, {'type': 28, 'value': 690}]}"
650930002,SHORT,971100,6,,,{'id': 172920}
650935230,SHORT,579000,18,,,{'id': 171831}
650935619,MEDIUM,192800,8,,,{'id': 173035}
650935804,MEDIUM,235500,3,,,{'id': 173037}
650936332,MEDIUM,,1,1150000000,990000000,"{'id': 163575, 'context': 0, 'modifiers': [{'type': 28, 'value': 190}]}"
650936382,MEDIUM,,1,3990000000,3111110000,"{'id': 163573, 'context': 0, 'modifiers': [{'type': 28, 'value': 188}]}"
650936493,MEDIUM,,1,54990000,54000000,"{'id': 128311, 'context': 31}"
650936725,MEDIUM,,1,59990000,,"{'id': 4335, 'context': 0}"
650936854,MEDIUM,,1,2500000000,,"{'id': 52494, 'context': 5}"
650936896,MEDIUM,,1,2500000000,,"{'id': 52495, 'context': 0}"
650936943,MEDIUM,,1,2500000000,,"{'id': 52496, 'context': 0, 'modifiers': [{'type': 28, 'value': 52}]}"
650936993,MEDIUM,,1,2599999900,,"{'id': 4354, 'context': 0}"
650937119,MEDIUM,,1,140000000,,"{'id': 52486, 'context': 0, 'bonus_lists': [6839]}"
650937154,MEDIUM,,1,140000000,,"{'id': 52485, 'context': 0, 'bonus_lists': [6839]}"
650937194,MEDIUM,3500000,4,,,{'id': 76061}
650937640,MEDIUM,,1,400000000,,"{'id': 158887, 'context': 13}"
650937669,MEDIUM,,1,600000000,,"{'id': 158886, 'context': 13}"
