id,time_left,unit_price,quantity,buyout,bid,item
652028015,SHORT,21000,2,,,{'id': 152550}
652028021,SHORT,7989900,1,,,{'id': 168190}
652028203,SHORT,4000000,7,,,{'id': 138486}
652028255,SHORT,,1,4429800,,"{'id': 114821, 'context': 0}"
652028259,SHORT,85000000,1,,,{'id': 168189}
652028266,SHORT,,1,4429800,,"{'id': 114821, 'context': 0}"
652028275,SHORT,,1,4429800,,"{'id': 114821, 'context': 0}"
652028278,SHORT,,1,4429800,,"{'id': 114821, 'context': 0}"
652028282,SHORT,,1,4429800,,"{'id': 114821, 'context': 0}"
652028287,SHORT,,1,4429800,,"{'id': 114821, 'context': 0}"
652028293,SHORT,,1,4429800,,"{'id': 114821, 'context': 0}"
652028299,SHORT,,1,4429800,,"{'id': 114821, 'context': 0}"
652028303,SHORT,66800,3,,,{'id': 167738}
652028305,SHORT,,1,4429800,,"{'id': 114821, 'context': 0}"
652028308,SHORT,,1,4429800,,"{'id': 114821, 'context': 0}"
652028314,SHORT,,1,4429800,,"{'id': 114821, 'context': 0}"
652028318,SHORT,,1,4429800,,"{'id': 114821, 'context': 0}"
652028322,SHORT,,1,4429800,,"{'id': 114821, 'context': 0}"
652028330,SHORT,500700,3,,,{'id': 154120}
652028336,SHORT,6600,2,,,{'id': 2459}
652028371,SHORT,52500,3,,,{'id': 154121}
652028388,SHORT,30000,1,,,{'id': 152577}
652028530,SHORT,40000,3,,,{'id': 153494}
652028618,SHORT,5000000,3,,,{'id': 158379}
652028693,SHORT,6600,13,,,{'id': 2459}
652028945,SHORT,350000,6,,,{'id': 166344}
652029186,SHORT,2501900,6,,,{'id': 81406}
652029249,SHORT,1501900,14,,,{'id': 81405}
652029361,SHORT,2500,39,,,{'id': 21877}
652029403,SHORT,149500,3,,,{'id': 22577}
652029683,SHORT,,1,12945800,,"{'id': 24868, 'context': 1, 'bonus_lists': [1705]}"
652029689,SHORT,,1,35683900,,"{'id': 36220, 'context': 1, 'bonus_lists': [1680]}"
652029694,SHORT,,1,28773200,,"{'id': 94095, 'context': 36, 'bonus_lists': [1679]}"
652029702,SHORT,,1,3964200,,"{'id': 106737, 'context': 0, 'bonus_lists': [207]}"
652029709,SHORT,,1,1995400,,"{'id': 10191, 'context': 11, 'bonus_lists': [6654, 1693], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 34}]}"
652029714,SHORT,,1,1995400,,"{'id': 10191, 'context': 0, 'bonus_lists': [6654, 1694], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 30}]}"
652029719,SHORT,,1,53631800,,"{'id': 25024, 'context': 0, 'bonus_lists': [6654, 1693], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1012}]}"
652029725,SHORT,,1,8790700,,"{'id': 116482, 'context': 0, 'bonus_lists': [6655, 115, 517], 'modifiers': [{'type': 9, 'value': 42}, {'type': 28, 'value': 2092}]}"
652029732,SHORT,,1,1791700,,"{'id': 10199, 'context': 0, 'bonus_lists': [6654, 1680], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 34}]}"
652029735,SHORT,,1,17363200,,"{'id': 35594, 'context': 0}"
652029740,SHORT,,1,5790200,,"{'id': 71359, 'context': 5, 'modifiers': [{'type': 28, 'value': 1029}]}"
652029745,SHORT,,1,5790200,,"{'id': 71359, 'context': 5, 'modifiers': [{'type': 28, 'value': 1029}]}"
652029748,SHORT,,1,5185400,,"{'id': 10099, 'context': 0, 'bonus_lists': [6654, 1705], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 34}]}"
652029756,SHORT,,1,27000000,,"{'id': 44309, 'context': 0}"
652029761,SHORT,,1,19118100,,"{'id': 10276, 'context': 0, 'bonus_lists': [6654, 1707], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 34}]}"
652029769,SHORT,,1,12131700,,"{'id': 55458, 'context': 0, 'bonus_lists': [6655, 1695], 'modifiers': [{'type': 9, 'value': 35}, {'type': 28, 'value': 1030}]}"
